Date, Organic pages (Monthly volume - United Arab Emirates), Organic traffic (Monthly volume - United Arab Emirates)
2023-03-28, 708, 214
2023-03-29, 705, 214
2023-03-30, 699, 212
2023-03-31, 694, 190
2023-04-01, 701, 189
2023-04-02, 700, 189
2023-04-03, 711, 190
2023-04-04, 712, 180
2023-04-05, 702, 177
2023-04-06, 703, 171
2023-04-07, 695, 153
2023-04-08, 701, 159
2023-04-09, 717, 163
2023-04-10, 707, 163
2023-04-11, 693, 153
2023-04-12, 686, 152
2023-04-13, 676, 151
2023-04-14, 674, 151
2023-04-15, 671, 155
2023-04-16, 674, 155
2023-04-17, 673, 158
2023-04-18, 669, 148
2023-04-19, 669, 148
2023-04-20, 668, 149
2023-04-21, 667, 151
2023-04-22, 668, 150
2023-04-23, 669, 116
2023-04-24, 666, 115
2023-04-25, 660, 113
2023-04-26, 658, 113
2023-04-27, 659, 113
2023-04-28, 655, 114
2023-04-29, 651, 117
2023-04-30, 650, 113
2023-05-01, 658, 113
2023-05-02, 657, 113
2023-05-03, 664, 107
2023-05-04, 657, 124
2023-05-05, 657, 116
2023-05-06, 660, 116
2023-05-07, 656, 111
2023-05-08, 656, 113
2023-05-09, 652, 115
2023-05-10, 657, 124
2023-05-11, 660, 118
2023-05-12, 657, 117
2023-05-13, 651, 116
2023-05-14, 649, 117
2023-05-15, 651, 111
2023-05-16, 654, 112
2023-05-17, 656, 116
2023-05-18, 656, 118
2023-05-19, 658, 118
2023-05-20, 655, 122
2023-05-21, 652, 121
2023-05-22, 658, 121
2023-05-23, 660, 132
2023-05-24, 662, 133
2023-05-25, 665, 127
2023-05-26, 662, 128
2023-05-27, 657, 129
2023-05-28, 652, 130
2023-05-29, 648, 132
2023-05-30, 651, 143
2023-05-31, 656, 143
2023-06-01, 660, 142
2023-06-02, 661, 140
2023-06-03, 658, 131
2023-06-04, 657, 118
2023-06-05, 660, 116
2023-06-06, 664, 121
2023-06-07, 667, 123
2023-06-08, 665, 123
2023-06-09, 665, 123
2023-06-10, 660, 126
2023-06-11, 658, 157
2023-06-12, 661, 159
2023-06-13, 671, 154
2023-06-14, 694, 175
2023-06-15, 709, 193
2023-06-16, 726, 184
2023-06-17, 744, 210
2023-06-18, 754, 204
2023-06-19, 752, 198
2023-06-20, 760, 221
2023-06-21, 775, 315
2023-06-22, 791, 316
2023-06-23, 810, 325
2023-06-24, 820, 329
2023-06-25, 811, 327
2023-06-26, 801, 338
2023-06-27, 807, 319
2023-06-28, 793, 319
2023-06-29, 776, 318
2023-06-30, 779, 325
2023-07-01, 788, 343
2023-07-02, 795, 345
2023-07-03, 811, 384
2023-07-04, 820, 392
2023-07-05, 811, 389
2023-07-06, 795, 373
2023-07-07, 797, 382
2023-07-08, 793, 377
2023-07-09, 786, 385
2023-07-10, 784, 394
2023-07-11, 782, 388
2023-07-12, 788, 387
2023-07-13, 784, 375
2023-07-14, 794, 377
2023-07-15, 796, 375
2023-07-16, 798, 374
2023-07-17, 808, 317
2023-07-18, 816, 325
2023-07-19, 828, 323
2023-07-20, 838, 324
2023-07-21, 837, 306
2023-07-22, 832, 310
2023-07-23, 833, 305
2023-07-24, 835, 312
2023-07-25, 839, 328
2023-07-26, 849, 327
2023-07-27, 872, 323
2023-07-28, 871, 320
2023-07-29, 870, 320
2023-07-30, 869, 320
2023-07-31, 876, 320
2023-08-01, 895, 324
2023-08-02, 910, 332
2023-08-03, 919, 327
2023-08-04, 928, 324
2023-08-05, 935, 325
2023-08-06, 934, 331
2023-08-07, 940, 331
2023-08-08, 949, 330
2023-08-09, 955, 338
2023-08-10, 963, 339
2023-08-11, 982, 335
2023-08-12, 995, 337
2023-08-13, 998, 346
2023-08-14, 1005, 340
2023-08-15, 1007, 342
2023-08-16, 1014, 333
2023-08-17, 1027, 334
2023-08-18, 1037, 347
2023-08-19, 1045, 346
2023-08-20, 1047, 350
2023-08-21, 1059, 403
2023-08-22, 1069, 402
2023-08-23, 1074, 402
2023-08-24, 1083, 404
2023-08-25, 1095, 401
2023-08-26, 1095, 397
2023-08-27, 1100, 392
2023-08-28, 1114, 379
2023-08-29, 1118, 381
2023-08-30, 1120, 385
2023-08-31, 1125, 385
2023-09-01, 1136, 408
2023-09-02, 1144, 406
2023-09-03, 1138, 410
2023-09-04, 1130, 367
2023-09-05, 1130, 364
2023-09-06, 1136, 376
2023-09-07, 1139, 379
2023-09-08, 1142, 379
2023-09-09, 1141, 376
2023-09-10, 1140, 370
2023-09-11, 1138, 382
2023-09-12, 1137, 385
2023-09-13, 1142, 400
2023-09-14, 1147, 388
2023-09-15, 1140, 366
2023-09-16, 1137, 364
2023-09-17, 1139, 360
2023-09-18, 1135, 359
2023-09-19, 1130, 418
2023-09-20, 1125, 415
2023-09-21, 1129, 425
2023-09-22, 1131, 426
2023-09-23, 1129, 429
2023-09-24, 1127, 428
2023-09-25, 1126, 429
2023-09-26, 1132, 411
2023-09-27, 1137, 412
2023-09-28, 1136, 405
2023-09-29, 1137, 401
2023-09-30, 1136, 401
2023-10-01, 1131, 402
2023-10-02, 1131, 413
2023-10-03, 1131, 413
2023-10-04, 1126, 411
2023-10-05, 1123, 374
2023-10-06, 1112, 390
2023-10-07, 1123, 393
2023-10-08, 1126, 398
2023-10-09, 1126, 399
2023-10-10, 1124, 407
2023-10-11, 1123, 425
2023-10-12, 1124, 446
2023-10-13, 1127, 443
2023-10-14, 1138, 449
2023-10-15, 1134, 451
2023-10-16, 1130, 460
2023-10-17, 1129, 460
2023-10-18, 1139, 457
2023-10-19, 1144, 460
2023-10-20, 1149, 454
2023-10-21, 1146, 453
2023-10-22, 1143, 453
2023-10-23, 1141, 453
2023-10-24, 1139, 450
2023-10-25, 1142, 450
2023-10-26, 1146, 450
2023-10-27, 1145, 450
2023-10-28, 1142, 451
2023-10-29, 1141, 451
2023-10-30, 1140, 451
2023-10-31, 1141, 446
2023-11-01, 1143, 445
2023-11-02, 1154, 512
2023-11-03, 1163, 516
2023-11-04, 1174, 595
2023-11-05, 1181, 600
2023-11-06, 1195, 585
2023-11-07, 1207, 651
2023-11-08, 1214, 655
2023-11-09, 1230, 680
2023-11-10, 1232, 725
2023-11-11, 1230, 725
2023-11-12, 1230, 725
2023-11-13, 1236, 722
2023-11-14, 1241, 737
2023-11-15, 1252, 785
2023-11-16, 1264, 793
2023-11-17, 1284, 810
2023-11-18, 1301, 834
2023-11-19, 1329, 1518
2023-11-20, 1356, 1674
2023-11-21, 1384, 1704
2023-11-22, 1423, 2154
2023-11-23, 1467, 2252
2023-11-24, 1500, 1965
2023-11-25, 1517, 1940
2023-11-26, 1544, 1916
2023-11-27, 1564, 2032
2023-11-28, 1591, 1984
2023-11-29, 1626, 2026
2023-11-30, 1649, 1591
2023-12-01, 1670, 1613
2023-12-02, 1687, 1607
2023-12-03, 1697, 1684
2023-12-04, 1718, 1608
2023-12-05, 1731, 1680
2023-12-06, 1743, 1939
2023-12-07, 1776, 2285
2023-12-08, 1789, 2721
2023-12-09, 1809, 2668
2023-12-10, 1820, 2361
2023-12-11, 1839, 2347
2023-12-12, 1854, 2533
2023-12-13, 1879, 2665
2023-12-14, 1903, 2840
2023-12-15, 1924, 2821
2023-12-16, 1957, 2722
2023-12-17, 1967, 2433
2023-12-18, 1995, 2474
2023-12-19, 2010, 3587
2023-12-20, 2037, 3946
2023-12-21, 2069, 3606
2023-12-22, 2104, 3873
2023-12-23, 2134, 3782
2023-12-24, 2139, 3788
2023-12-25, 2148, 3913
2023-12-26, 2154, 3882
2023-12-27, 2178, 7294
2023-12-28, 2219, 8647
2023-12-29, 2233, 8760
2023-12-30, 2233, 8759
2023-12-31, 2274, 6936
2024-01-01, 2304, 7693
2024-01-02, 2338, 7584
2024-01-03, 2366, 7834
2024-01-04, 2405, 9574
2024-01-05, 2439, 9752
2024-01-06, 2441, 9602
2024-01-07, 2460, 9503
2024-01-08, 2468, 9849
2024-01-09, 2491, 9573
2024-01-10, 2500, 9096
2024-01-11, 2520, 9230
2024-01-12, 2549, 8933
2024-01-13, 2543, 9233
2024-01-14, 2543, 9275
2024-01-15, 2561, 9393
2024-01-16, 2570, 9728
2024-01-17, 2585, 10631
2024-01-18, 2586, 10602
2024-01-19, 2517, 9729
2024-01-20, 2516, 9729
2024-01-21, 2520, 9745
2024-01-22, 2536, 9818
2024-01-23, 2558, 11938
2024-01-24, 2558, 17679
2024-01-25, 2559, 19879
2024-01-26, 2561, 13625
2024-01-27, 2560, 14356
2024-01-28, 2567, 16623
2024-01-29, 2568, 16954
2024-01-30, 2579, 17123
2024-01-31, 2604, 18764
2024-02-01, 2611, 20609
2024-02-02, 2621, 20975
2024-02-03, 2619, 21841
2024-02-04, 2624, 24542
2024-02-05, 2618, 23271
2024-02-06, 2622, 24635
2024-02-07, 2620, 23441
2024-02-08, 2620, 19412
2024-02-09, 2631, 23567
2024-02-10, 2610, 22404
2024-02-11, 2599, 26781
2024-02-12, 2589, 25002
2024-02-13, 2605, 21772
2024-02-14, 2613, 20109
2024-02-15, 2655, 21048
2024-02-16, 2655, 20953
2024-02-17, 2639, 21332
2024-02-18, 2637, 20939
2024-02-19, 2648, 19394
2024-02-20, 2664, 18746
2024-02-21, 2680, 18594
2024-02-22, 2696, 18708
2024-02-23, 2690, 18794
2024-02-24, 2666, 18913
2024-02-25, 2670, 19384
2024-02-26, 2693, 19666
2024-02-27, 2690, 19307
2024-02-28, 2706, 16853
2024-02-29, 2718, 17662
2024-03-01, 2730, 18333
2024-03-02, 2745, 21132
2024-03-03, 2738, 22388
2024-03-04, 2744, 21552
2024-03-05, 2760, 28741
2024-03-06, 2776, 28378
2024-03-07, 2790, 26143
2024-03-08, 2809, 29204
2024-03-09, 2822, 27106
2024-03-10, 2832, 24295
2024-03-11, 2861, 24708
2024-03-12, 2875, 24841
2024-03-13, 2886, 24445
2024-03-14, 2898, 25133
2024-03-15, 2902, 28617
2024-03-16, 2902, 28714
2024-03-17, 2901, 32008
2024-03-18, 2911, 30869
2024-03-19, 2909, 29530
2024-03-20, 2919, 29080
2024-03-21, 2857, 29697
2024-03-22, 2869, 31260
2024-03-23, 2854, 30193
2024-03-24, 2839, 31210
2024-03-25, 2824, 31514
2024-03-26, 2808, 28945
2024-03-27, 2806, 29388
2024-03-28, 2850, 30602
2024-03-29, 2913, 31706
2024-03-30, 2917, 37149
2024-03-31, 2904, 34526
2024-04-01, 2897, 43039
2024-04-02, 2905, 42199
2024-04-03, 2921, 32654
2024-04-04, 2936, 32480
2024-04-05, 2943, 51778
2024-04-06, 2931, 34984
2024-04-07, 2920, 42829
2024-04-08, 2918, 40677
2024-04-09, 2911, 55653
2024-04-10, 2883, 52669
2024-04-11, 2863, 43503
2024-04-12, 2889, 47063
2024-04-13, 2889, 36472
2024-04-14, 2889, 36508
2024-04-15, 2913, 35807
2024-04-16, 2906, 47360
2024-04-17, 2872, 43498
2024-04-18, 2848, 37191
2024-04-19, 2826, 41857
2024-04-20, 2814, 44492
2024-04-21, 2797, 43885
2024-04-22, 2775, 45765
2024-04-23, 2765, 46290
2024-04-24, 2757, 55792
2024-04-25, 2755, 55036
2024-04-26, 2754, 53107
2024-04-27, 2749, 60382
2024-04-28, 2744, 58588
2024-04-29, 2736, 62687
2024-04-30, 2730, 60359
2024-05-01, 2744, 49715
2024-05-02, 2745, 43918
2024-05-03, 2757, 45779
2024-05-04, 2750, 73515
2024-05-05, 2762, 46555
2024-05-06, 2780, 47691
2024-05-07, 2801, 48753
2024-05-08, 2830, 47660
2024-05-09, 2841, 48587
2024-05-10, 2856, 49746
2024-05-11, 2880, 57819
2024-05-12, 2879, 93593
2024-05-13, 2893, 64900
2024-05-14, 2913, 65301
2024-05-15, 2931, 69442
2024-05-16, 2939, 73043
2024-05-17, 2957, 72525
2024-05-18, 2962, 64404
2024-05-19, 2967, 59885
2024-05-20, 2984, 61732
2024-05-21, 3008, 62320
2024-05-22, 3046, 57393
2024-05-23, 3060, 61137
2024-05-24, 3084, 61302
2024-05-25, 3080, 58854
2024-05-26, 3087, 59239
2024-05-27, 3106, 66092
2024-05-28, 3129, 55671
2024-05-29, 3150, 52210
2024-05-30, 3160, 50366
2024-05-31, 3174, 55776
2024-06-01, 3169, 52694
2024-06-02, 3166, 49725
2024-06-03, 3168, 43300
2024-06-04, 3182, 45936
2024-06-05, 3178, 50844
2024-06-06, 3203, 54027
2024-06-07, 3216, 83292
2024-06-08, 3199, 56074
2024-06-09, 3197, 47551
2024-06-10, 3204, 58086
2024-06-11, 3214, 57021
2024-06-12, 3228, 56822
2024-06-13, 3238, 46961
2024-06-14, 3251, 44555
2024-06-15, 3250, 44329
2024-06-16, 3243, 44996
2024-06-17, 3248, 43758
2024-06-18, 3237, 43421
2024-06-19, 3234, 43156
2024-06-20, 3231, 44114
2024-06-21, 3245, 42320
2024-06-22, 3247, 45753
2024-06-23, 3239, 45120
2024-06-24, 3239, 45141
2024-06-25, 3249, 48031
2024-06-26, 3274, 45392
2024-06-27, 3278, 45263
2024-06-28, 3273, 45285
2024-06-29, 3252, 42363
2024-06-30, 3256, 41734
2024-07-01, 3271, 43303
2024-07-02, 3280, 42861
2024-07-03, 3285, 42334
2024-07-04, 3299, 39427
2024-07-05, 3299, 39807
2024-07-06, 3289, 37197
2024-07-07, 3272, 36816
2024-07-08, 3265, 37479
2024-07-09, 3299, 38357
2024-07-10, 3313, 36092
2024-07-11, 3326, 36857
2024-07-12, 3331, 35524
2024-07-13, 3337, 39546
2024-07-14, 3310, 37376
2024-07-15, 3303, 39649
2024-07-16, 3341, 37890
2024-07-17, 3358, 41182
2024-07-18, 3382, 45883
2024-07-19, 3391, 43030
2024-07-20, 3379, 37469
2024-07-21, 3360, 37182
2024-07-22, 3351, 36273
2024-07-23, 3352, 39574
2024-07-24, 3385, 38681
2024-07-25, 3363, 38078
2024-07-26, 3369, 37660
2024-07-27, 3349, 38132
2024-07-28, 3339, 37886
2024-07-29, 3339, 34914
2024-07-30, 3344, 34048
2024-07-31, 3360, 33266
2024-08-01, 3375, 33307
2024-08-02, 3396, 32955
2024-08-03, 3395, 32093
2024-08-04, 3397, 31941
2024-08-05, 3415, 35971
2024-08-06, 3426, 37176
2024-08-07, 3445, 41068
2024-08-08, 3443, 42376
2024-08-09, 3437, 43128
2024-08-10, 3432, 43050
2024-08-11, 3427, 42837
2024-08-12, 3428, 43158
2024-08-13, 3456, 39758
2024-08-14, 3475, 40886
2024-08-15, 3503, 41213
2024-08-16, 3513, 31789
2024-08-17, 3512, 28489
2024-08-18, 3508, 27817
2024-08-19, 3511, 26527
2024-08-20, 3519, 26015
2024-08-21, 3521, 25358
2024-08-22, 3501, 25117
2024-08-23, 3488, 25148
2024-08-24, 3452, 24274
2024-08-25, 3403, 23568
2024-08-26, 3389, 23865
2024-08-27, 3387, 23821
2024-08-28, 3386, 23733
2024-08-29, 3387, 23409
2024-08-30, 3362, 23734
2024-08-31, 3341, 21707
2024-09-01, 3323, 21318
2024-09-02, 3311, 20494
2024-09-03, 3300, 20198
2024-09-04, 3281, 20228
2024-09-05, 3271, 20101
2024-09-06, 3245, 20251
2024-09-07, 3204, 22523
2024-09-08, 3162, 25921
2024-09-09, 3147, 31139
2024-09-10, 3155, 38428
2024-09-11, 3136, 38899
2024-09-12, 3144, 29520
2024-09-13, 3164, 27074
2024-09-14, 3175, 25229
2024-09-15, 3166, 26152
2024-09-16, 3188, 25438
2024-09-17, 3198, 24763
2024-09-18, 3196, 24289
2024-09-19, 3206, 21628
2024-09-20, 3216, 23011
2024-09-21, 3195, 21507
2024-09-22, 3179, 21923
2024-09-23, 3166, 23275
2024-09-24, 3185, 24107
2024-09-25, 3179, 23059
2024-09-26, 3210, 21517
2024-09-27, 3219, 21146
2024-09-28, 3222, 20940
2024-09-29, 3224, 20248
2024-09-30, 3218, 20205
2024-10-01, 3230, 17792
2024-10-02, 3247, 18558
2024-10-03, 3241, 18058
2024-10-04, 3228, 18190
2024-10-05, 3233, 18033
2024-10-06, 3216, 19537
2024-10-07, 3198, 19309
2024-10-08, 3201, 19609
2024-10-09, 3208, 19247
2024-10-10, 3229, 18692
2024-10-11, 3236, 18620
2024-10-12, 3239, 18647
2024-10-13, 3240, 17311
2024-10-14, 3245, 16794
2024-10-15, 3259, 16692
2024-10-16, 3279, 16534
2024-10-17, 3297, 18740
2024-10-18, 3318, 17498
2024-10-19, 3323, 17669
2024-10-20, 3319, 17201
2024-10-21, 3338, 18138
2024-10-22, 3337, 17950
2024-10-23, 3387, 19027
2024-10-24, 3400, 22360
2024-10-25, 3397, 22421
2024-10-26, 3407, 21385
2024-10-27, 3412, 20924
2024-10-28, 3431, 21570
2024-10-29, 3445, 20647
2024-10-30, 3435, 20116
2024-10-31, 3435, 20116
2024-11-01, 3473, 19966
2024-11-02, 3479, 19702
2024-11-03, 3483, 19267
2024-11-04, 3488, 20258
2024-11-05, 3491, 22881
2024-11-06, 3503, 23229
2024-11-07, 3513, 26633
2024-11-08, 3508, 26059
2024-11-09, 3515, 31483
2024-11-10, 3507, 30383
2024-11-11, 3510, 30458
2024-11-12, 3517, 30149
2024-11-13, 3524, 30125
2024-11-14, 3550, 28283
2024-11-15, 3555, 27280
2024-11-16, 3564, 27489
2024-11-17, 3575, 25521
2024-11-18, 3602, 23027
2024-11-19, 3622, 25320
2024-11-20, 3660, 26229
2024-11-21, 3660, 26240
2024-11-22, 3703, 23021
2024-11-23, 3713, 22036
2024-11-24, 3733, 21016
2024-11-25, 3755, 21078
2024-11-26, 3771, 22457
2024-11-27, 3797, 20050
2024-11-28, 3814, 16375
2024-11-29, 3856, 16012
2024-11-30, 3895, 13783
2024-12-01, 3964, 12218
2024-12-02, 4014, 12887
2024-12-03, 4056, 12795
2024-12-04, 4072, 13920
2024-12-05, 4095, 15017
2024-12-06, 4130, 15273
2024-12-07, 4143, 14860
2024-12-08, 4141, 14552
2024-12-09, 4183, 14528
2024-12-10, 4214, 13493
2024-12-11, 4255, 15461
2024-12-12, 4299, 13366
2024-12-13, 4337, 14125
2024-12-14, 4338, 13761
2024-12-15, 4320, 13336
2024-12-16, 4356, 12894
2024-12-17, 4360, 12730
2024-12-18, 4359, 12757
2024-12-19, 4343, 11258
2024-12-20, 4327, 11416
2024-12-21, 4300, 11537
2024-12-22, 4269, 12148
2024-12-23, 4234, 12132
2024-12-24, 4223, 12840
2024-12-25, 4222, 13791
2024-12-26, 4212, 13838
2024-12-27, 4207, 14031
2024-12-28, 4185, 14529
2024-12-29, 4153, 14887
2024-12-30, 4138, 13719
2024-12-31, 4112, 13229
2025-01-01, 4075, 13089
2025-01-02, 4052, 11889
2025-01-03, 4025, 13573
2025-01-04, 4015, 11825
2025-01-05, 3983, 12053
2025-01-06, 3974, 13099
2025-01-07, 3969, 11412
2025-01-08, 3986, 13061
2025-01-09, 3976, 11654
2025-01-10, 3946, 11361
2025-01-11, 3875, 12007
2025-01-12, 3836, 11410
2025-01-13, 3813, 11464
2025-01-14, 3808, 11888
2025-01-15, 3807, 11856
2025-01-16, 3801, 11852
2025-01-17, 3806, 11340
2025-01-18, 3786, 11129
2025-01-19, 3739, 10641
2025-01-20, 3735, 10485
2025-01-21, 3728, 10774
2025-01-22, 3715, 10109
2025-01-23, 3698, 11423
2025-01-24, 3692, 13467
2025-01-25, 3632, 9942
2025-01-26, 3568, 10216
2025-01-27, 3534, 9672
2025-01-28, 3500, 10480
2025-01-29, 3468, 12874
2025-01-30, 3442, 9788
2025-01-31, 3396, 10323
2025-02-01, 3375, 17521
2025-02-02, 3329, 13662
2025-02-03, 3332, 11828
2025-02-04, 3325, 11022
2025-02-05, 3323, 11166
2025-02-06, 3309, 12263
2025-02-07, 3302, 12148
2025-02-08, 3282, 12547
2025-02-09, 3262, 13083
2025-02-10, 3253, 12791
2025-02-11, 3251, 13740
2025-02-12, 3252, 13294
2025-02-13, 3255, 13493
2025-02-14, 3252, 13123
2025-02-15, 3246, 13039
2025-02-16, 3229, 14293
2025-02-17, 3234, 13035
2025-02-18, 3229, 12931
2025-02-19, 3224, 12733
2025-02-20, 3236, 14020
2025-02-21, 3244, 15824
2025-02-22, 3230, 16345
2025-02-23, 3216, 16824
2025-02-24, 3212, 16617
2025-02-25, 3211, 16073
2025-02-26, 3222, 15725
2025-02-27, 3237, 14374
2025-02-28, 3240, 13334
2025-03-01, 3224, 13341
2025-03-02, 3203, 13742
2025-03-03, 3203, 13323
2025-03-04, 3201, 13781
2025-03-05, 3219, 12750
2025-03-06, 3238, 13440
2025-03-07, 3235, 13123
2025-03-08, 3220, 13999
2025-03-09, 3204, 14349
2025-03-10, 3205, 14965
2025-03-11, 3210, 21019
2025-03-12, 3210, 18124
2025-03-13, 3253, 12768
2025-03-14, 3270, 13251
2025-03-15, 3273, 11827
2025-03-16, 3267, 11657
2025-03-17, 3261, 11242
2025-03-18, 3260, 11261
2025-03-19, 3260, 11218
2025-03-20, 3243, 10315
2025-03-21, 3243, 10572
2025-03-22, 3240, 9852
2025-03-23, 3204, 10828
2025-03-24, 3218, 9679
2025-03-25, 3235, 9598
2025-03-26, 3227, 9900
2025-03-27, 3228, 9384
2025-03-28, 3228, 8821